# Sentinel: 2 (2 ^ 1)
      -1	ff
       1	01
       0	
       0	
       1	01
      -1	ff
       2	02
      -2	fe
       3	03
      -3	fd
       4	04
      -4	fc

# Sentinel: 4 (2 ^ 2)
       1	01
      -1	ff
       2	02
      -2	fe
       3	03
      -3	fd
       4	04
      -4	fc
       5	05
      -5	fb
       6	06
      -6	fa

# Sentinel: 8 (2 ^ 3)
       5	05
      -5	fb
       6	06
      -6	fa
       7	07
      -7	f9
       8	08
      -8	f8
       9	09
      -9	f7
      10	0a
     -10	f6

# Sentinel: 16 (2 ^ 4)
      13	0d
     -13	f3
      14	0e
     -14	f2
      15	0f
     -15	f1
      16	10
     -16	f0
      17	11
     -17	ef
      18	12
     -18	ee

# Sentinel: 32 (2 ^ 5)
      29	1d
     -29	e3
      30	1e
     -30	e2
      31	1f
     -31	e1
      32	20
     -32	e0
      33	21
     -33	df
      34	22
     -34	de

# Sentinel: 64 (2 ^ 6)
      61	3d
     -61	c3
      62	3e
     -62	c2
      63	3f
     -63	c1
      64	40
     -64	c0
      65	41
     -65	bf
      66	42
     -66	be

# Sentinel: 128 (2 ^ 7)
     125	7d
    -125	83
     126	7e
    -126	82
     127	7f
    -127	81
     128	0080
    -128	80
     129	0081
    -129	ff7f
     130	0082
    -130	ff7e

# Sentinel: 256 (2 ^ 8)
     253	00fd
    -253	ff03
     254	00fe
    -254	ff02
     255	00ff
    -255	ff01
     256	0100
    -256	ff00
     257	0101
    -257	feff
     258	0102
    -258	fefe

# Sentinel: 512 (2 ^ 9)
     509	01fd
    -509	fe03
     510	01fe
    -510	fe02
     511	01ff
    -511	fe01
     512	0200
    -512	fe00
     513	0201
    -513	fdff
     514	0202
    -514	fdfe

# Sentinel: 1024 (2 ^ 10)
    1021	03fd
   -1021	fc03
    1022	03fe
   -1022	fc02
    1023	03ff
   -1023	fc01
    1024	0400
   -1024	fc00
    1025	0401
   -1025	fbff
    1026	0402
   -1026	fbfe

# Sentinel: 2048 (2 ^ 11)
    2045	07fd
   -2045	f803
    2046	07fe
   -2046	f802
    2047	07ff
   -2047	f801
    2048	0800
   -2048	f800
    2049	0801
   -2049	f7ff
    2050	0802
   -2050	f7fe

# Sentinel: 4096 (2 ^ 12)
    4093	0ffd
   -4093	f003
    4094	0ffe
   -4094	f002
    4095	0fff
   -4095	f001
    4096	1000
   -4096	f000
    4097	1001
   -4097	efff
    4098	1002
   -4098	effe

# Sentinel: 8192 (2 ^ 13)
    8189	1ffd
   -8189	e003
    8190	1ffe
   -8190	e002
    8191	1fff
   -8191	e001
    8192	2000
   -8192	e000
    8193	2001
   -8193	dfff
    8194	2002
   -8194	dffe

# Sentinel: 16384 (2 ^ 14)
   16381	3ffd
  -16381	c003
   16382	3ffe
  -16382	c002
   16383	3fff
  -16383	c001
   16384	4000
  -16384	c000
   16385	4001
  -16385	bfff
   16386	4002
  -16386	bffe

# Sentinel: 32768 (2 ^ 15)
   32765	7ffd
  -32765	8003
   32766	7ffe
  -32766	8002
   32767	7fff
  -32767	8001
   32768	008000
  -32768	8000
   32769	008001
  -32769	ff7fff
   32770	008002
  -32770	ff7ffe

# Sentinel: 65536 (2 ^ 16)
   65533	00fffd
  -65533	ff0003
   65534	00fffe
  -65534	ff0002
   65535	00ffff
  -65535	ff0001
   65536	010000
  -65536	ff0000
   65537	010001
  -65537	feffff
   65538	010002
  -65538	fefffe

# Sentinel: 131072 (2 ^ 17)
  131069	01fffd
 -131069	fe0003
  131070	01fffe
 -131070	fe0002
  131071	01ffff
 -131071	fe0001
  131072	020000
 -131072	fe0000
  131073	020001
 -131073	fdffff
  131074	020002
 -131074	fdfffe

# Sentinel: 262144 (2 ^ 18)
  262141	03fffd
 -262141	fc0003
  262142	03fffe
 -262142	fc0002
  262143	03ffff
 -262143	fc0001
  262144	040000
 -262144	fc0000
  262145	040001
 -262145	fbffff
  262146	040002
 -262146	fbfffe

# Sentinel: 524288 (2 ^ 19)
  524285	07fffd
 -524285	f80003
  524286	07fffe
 -524286	f80002
  524287	07ffff
 -524287	f80001
  524288	080000
 -524288	f80000
  524289	080001
 -524289	f7ffff
  524290	080002
 -524290	f7fffe
